primary_key;ip;org_id;status;responds_to_ping;responds_to_iplookup;responds_to_scan;last_discovery_date
192.168.10.9;192.168.10.9;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.10;192.168.10.10;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.11;192.168.10.11;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.13;192.168.10.13;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.20;192.168.10.20;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.22;192.168.10.22;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.24;192.168.10.24;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.26;192.168.10.26;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.51;192.168.10.51;3;unassigned;no;no;no;"2018-09-19 18:54:23"
192.168.10.52;192.168.10.52;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.57;192.168.10.57;3;unassigned;no;no;no;"2018-09-19 18:54:23"
192.168.10.59;192.168.10.59;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.60;192.168.10.60;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.64;192.168.10.64;3;allocated;yes;no;no;"2018-09-19 18:54:23"
192.168.10.71;192.168.10.71;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.72;192.168.10.72;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.73;192.168.10.73;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.82;192.168.10.82;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.85;192.168.10.85;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.91;192.168.10.91;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.99;192.168.10.99;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.113;192.168.10.113;3;unassigned;no;no;no;"2018-09-19 18:54:23"
192.168.10.114;192.168.10.114;3;unassigned;no;no;no;"2018-09-19 18:54:23"
192.168.10.117;192.168.10.117;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.118;192.168.10.118;3;unassigned;no;no;no;"2018-09-19 18:54:23"
192.168.10.120;192.168.10.120;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.125;192.168.10.125;3;unassigned;no;no;no;"2018-09-19 18:54:23"
192.168.10.126;192.168.10.126;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.128;192.168.10.128;3;unassigned;no;no;no;"2018-09-19 18:54:23"
192.168.10.129;192.168.10.129;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.132;192.168.10.132;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.149;192.168.10.149;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.150;192.168.10.150;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.152;192.168.10.152;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.173;192.168.10.173;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.228;192.168.10.228;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.229;192.168.10.229;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.251;192.168.10.251;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.252;192.168.10.252;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
192.168.10.254;192.168.10.254;3;unassigned;yes;no;no;"2018-09-19 18:54:23"
